Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
2013,1,6,498192.03,888568580,1784
2000,9,1,75550.0,134492000,1780
2004,7,1,216243.0,384842600,1780
2017,9,0,95462.96,169572540,1776
2001,2,1,26670.0,47378000,1776
2011,7,0,111756.36,198212782,1774
1999,7,1,162670.0,288330000,1772
2011,6,0,513707.03,908545120,1769
2013,9,2,78663.67,139174988,1769
2011,2,4,66575.66,117608868,1767
2008,7,1,248881.66,439811852,1767
2007,6,6,809195.61,1427286259,1764
2016,7,0,80861.37,142437232,1761
1996,4,4,4440.0,7813000,1760
2019,5,4,7991.36,14059021,1759
2011,8,1,28094.49,49264060,1754
2010,8,4,32704.78,57353549,1754
2007,9,1,58613.21,102667972,1752
2012,9,2,76654.62,133789707,1745
2005,1,1,285242.0,497181600,1743
2006,9,1,46192.02,293483263,1739
2009,9,1,64275.12,111607170,1736
1999,1,1,305410.0,528471000,1730
2011,3,4,8851.57,15282952,1727
2013,6,3,21889.32,37806207,1727
2021,8,4,45321.84,78293509,1727
2015,1,0,362738.63,625622575,1725
1997,6,4,426420.0,734956000,1724
2014,7,0,76763.65,132356026,1724
2015,7,0,73614.79,126845014,1723
2011,0,4,2700.93,4643750,1719
2001,1,1,377760.0,648883000,1718
2017,6,5,1441029.78,2473796379,1717
2004,2,1,25677.0,44011400,1714
2002,9,1,52217.67,89497201,1714
2011,8,6,4279.81,7336086,1714
2015,9,0,99052.22,169542113,1712
2016,9,6,102847.97,176096635,1712
2002,7,1,191490.02,327037722,1708
2012,3,1,219.02,374131,1708
2013,7,4,131516.72,224519380,1707
2009,2,6,2168.38,3700026,1706
2005,6,6,765528.0,1302828800,1702
2001,7,6,105790.0,180038000,1702
2017,1,5,1137844.18,1932857365,1699
2008,6,1,5845.44,9917832,1697
2009,9,4,180027.8,305566660,1697
2000,1,1,309410.0,524905000,1696
2011,4,1,6051.1,10245940,1693
2002,9,4,114058.73,192349234,1686
2008,6,4,28288.56,47676122,1685
2001,7,1,344800.0,579274000,1680
2007,6,4,56344.65,945448494,1679
2020,9,5,166718.86,279081158,1674
2012,1,6,460164.57,769486730,1672
2000,2,1,29540.0,49354000,1671
1997,1,1,316250.0,530125000,1670
2009,1,4,547152.6,913119820,1669
2008,4,4,3079.24,5126545,1665
2013,2,6,1770.9,2946056,1664
2008,7,6,118815.25,197457919,1662
2013,6,2,92306.89,153205962,1660
2008,5,1,1272.88,2111165,1659
2014,9,0,96577.17,160265852,1659
2016,5,1,1265.83,2100281,1659
1997,9,4,141190.0,234032000,1658
2010,8,6,4364.13,7224497,1655
2021,9,5,188391.88,311753877,1655
2009,2,2,29164.66,48237243,1654
2011,1,6,498748.68,824860321,1654
2012,4,4,3324.79,5497360,1653
2012,9,0,99453.31,164003891,1649
2012,6,3,27343.84,45043286,1647
2009,8,1,39751.64,65388636,1645
2004,6,6,556354.0,912864500,1641
2007,1,4,481218.82,789147685,1640
2013,3,4,9429.03,15412641,1635
2010,1,6,548315.25,896092731,1634
2010,8,1,26998.54,44083170,1633
2011,9,2,76065.32,124103018,1632
2007,2,2,22546.58,36771927,1631
2010,1,4,486467.74,792246070,1629
2015,6,5,1427548.05,2325488216,1629
2016,5,4,7496.5,12206534,1628
1997,4,1,2910.0,4734000,1627
2011,7,4,107735.23,175125481,1626
2021,7,3,300.75,488326,1624
2000,7,1,205700.0,333929000,1623
1996,6,4,452110.0,731963000,1619
2007,5,1,1366.38,2212699,1619
2013,9,0,98162.52,158810944,1618
2016,6,5,1369934.27,2215625767,1617
2009,8,4,21970.22,35494467,1616
2006,6,6,816572.28,1317706079,1614
2007,9,4,207488.92,334506297,1612
2011,6,3,24494.31,39462124,1611
2020,7,2,10901.17,17550375,1610
2009,2,4,58905.26,94750164,1609
2019,9,5,176545.98,283833741,1608
2016,1,5,1093135.22,1757022412,1607
2018,7,2,4485.63,7205019,1606
2009,6,0,451955.5,724293850,1603
2012,7,4,122731.01,196715893,1603
2013,7,0,82040.19,131467986,1602
2021,7,5,234350.83,374427961,1598
2016,2,2,32452.56,51824491,1597
2006,9,4,184010.83,69563027,1595
2008,2,4,59829.26,95367937,1594
2007,1,6,427719.81,681612665,1594
1998,1,1,236830.0,377289000,1593
2019,7,2,9670.25,15381202,1591
2008,9,4,170504.48,270916987,1589
2006,1,4,537623.62,851540211,1584
2008,1,4,499133.91,790774634,1584
2015,1,5,1143115.98,1809367086,1583
2016,9,0,99423.28,157174532,1581
2007,7,6,123194.84,194479536,1579
2014,1,0,373016.41,588766645,1578
2011,3,1,320.34,505268,1577
2020,7,5,243613.39,383757706,1575
2002,6,6,545923.45,859521736,1574
2016,4,4,2598.59,4087252,1573
2019,3,4,10914.71,17128287,1569
1996,6,3,36800.0,57662000,1567
1998,6,6,486470.0,76080000,1564
2019,2,0,1687.07,2637226,1563
2011,6,2,81808.99,127828081,1563
2010,9,6,113595.76,177164359,1560
2010,2,2,28391.84,44268465,1559
2017,7,2,3626.67,5646942,1557
2009,7,4,111055.1,172797680,1556
2022,7,5,211639.3,328840228,1554
2011,1,2,216959.97,336000975,1549
1998,9,1,61560.0,95365000,1549
2015,2,2,30791.23,47634489,1547
2001,9,1,55680.0,86059000,1546
2001,6,6,642700.0,990501000,1541
2009,6,3,21899.1,33696832,1539
2018,9,5,167748.72,257906058,1537
2020,1,3,2469.16,3793179,1536
2012,1,2,230613.94,353529558,1533
2022,5,6,246.0,376766,1528
2020,5,6,101.07,154222,1526
2004,7,2,5186.0,7899500,1523
2013,1,0,388113.19,590502822,1521
2005,7,1,207410.0,315571100,1521
2005,6,4,522499.0,794826600,1521
2021,2,5,22021.32,33444520,1519
2022,2,5,22021.32,33444520,1519
2010,1,2,164321.16,249509251,1518
2021,3,1,250.86,380477,1517
2009,9,0,97460.26,147775370,1516
2004,7,6,114578.0,173361100,1513
2018,1,3,4094.8,6189357,1512
2006,7,6,119118.32,179932070,1511
2004,6,4,500943.0,756626600,1510
2015,7,2,4286.6,6466913,1509
1996,9,1,45050.0,67963000,1509
2006,6,4,542045.77,817642891,1508
2009,1,6,434386.4,654502110,1507
2004,9,4,128927.0,194205000,1506
2014,6,5,1397797.42,2104084217,1505
2007,2,4,58992.05,88717344,1504
2021,1,3,4561.04,6837950,1499
2020,2,5,27130.09,40606801,1497
2011,5,4,6762.14,10116300,1496
2014,1,5,1146730.12,1713797322,1495
2010,7,2,6020.19,8998050,1495
2018,7,5,248124.17,370414919,1493
2017,1,3,3002.02,4480834,1493
2005,7,6,131485.0,196284400,1493
2013,3,1,270.55,403260,1491
2008,9,1,63265.83,94239653,1490
2018,7,3,337.6,501864,1487
2019,7,5,236532.28,350828648,1483
2012,7,3,450.16,667083,1482
2007,9,6,100140.38,148062729,1479
2019,1,3,3055.08,4518212,1479
2012,3,4,9389.52,13811632,1471
2002,7,6,92351.77,135370649,1466
1998,8,1,22150.0,32401000,1463
2004,9,1,43622.0,63784300,1462
2014,5,4,6656.98,9725698,1461
2004,6,3,19998.0,29206100,1460
2022,7,3,98.41,143726,1460
2019,7,3,368.68,538295,1460
2018,2,0,729.21,1064121,1459
2010,7,0,88038.46,1128218912,1456
2008,1,6,426814.6,621176897,1455
2019,2,5,29726.64,43213513,1454
2002,6,4,437397.55,635585291,1453
2008,2,6,3425.7,4971410,1451
2005,1,6,392722.0,569397100,1450
2017,2,0,773.15,1119386,1448
2010,7,3,769.24,1112835,1447
2011,2,2,29472.09,42625701,1446
2017,9,5,167584.33,241011677,1438
1998,7,6,66950.0,96071000,1435
2007,4,4,2889.0,4128800,1429
2006,4,4,2889.0,4128800,1429
2015,9,5,184848.49,263601790,1426
2012,1,0,303760.05,431557873,1421
2008,9,6,103956.9,147749567,1421
2016,3,1,294.22,416183,1415
2022,1,3,2933.05,4151348,1415
2010,1,3,8742.51,12363949,1414
2006,2,6,2047.65,2893619,1413
2009,6,2,98040.65,138145490,1409
2006,1,6,431486.33,607488794,1408
2008,2,2,27518.99,38743030,1408
2020,3,1,282.34,397247,1407
2005,6,0,532141.0,747348200,1404
1999,6,4,351260.0,493269000,1404
2010,3,1,443.76,623245,1404
2013,1,5,1090139.5,1528197733,1402
1997,6,6,431750.0,604331000,1400
2009,1,0,347719.9,486149800,1398
2011,8,4,34608.39,48380168,1398
2013,6,5,1256564.8,1753559651,1396
2000,6,4,368030.0,513295000,1395
2016,7,2,3781.22,5273914,1395
2010,6,2,105610.88,147175413,1394
1998,2,4,45830.0,63780000,1392
2002,3,4,6160.24,8574942,1392
2017,7,5,246099.24,341254766,1387
2007,6,0,477231.31,659745867,1382
2012,7,0,82305.24,113651742,1381
2009,7,0,76437.71,105487390,1380
2015,7,3,301.49,415278,1377
2005,1,4,411949.0,566553200,1375
2014,2,2,31800.01,43700817,1374
2009,9,6,101092.5,138719280,1372
2015,7,5,238539.4,326860266,1370
2010,6,3,14147.33,19355740,1368
2006,2,4,52886.98,72315689,1367
2006,6,2,83577.5,114146524,1366
2008,9,0,114923.43,156680340,1363
2012,6,2,87061.51,118362722,1360
1998,6,0,352590.0,479665000,1360
1996,6,6,469990.0,638548000,1359
2008,7,4,102474.24,139163975,1358
2007,6,2,92253.98,125298710,1358
2010,0,4,578.4,783490,1355
2008,1,2,196114.7,265635882,1354
2019,5,6,38.07,51437,1351
2015,1,3,4497.67,6070167,1350
2010,9,0,106787.74,144049611,1349
2006,6,0,514377.35,692957511,1347
2019,3,1,204.4,275387,1347
2004,8,3,470.0,632100,1345
2009,2,0,733.69,987155,1345
2016,2,0,592.53,795097,1342
2009,1,2,195002.7,261777330,1342
2002,8,4,20824.36,27905426,1340
2018,2,5,24529.72,32869677,1340
1999,9,4,108690.0,145627000,1340
2007,1,0,351264.12,470231149,1339
2008,9,2,77848.4,104191123,1338
1998,4,4,3290.0,4384000,1333
2004,6,0,412329.0,549074700,1332
2014,9,5,185337.29,246551795,1330
2015,2,0,774.28,1028417,1328
2001,6,3,27410.0,36350000,1326
2008,3,4,7135.92,9432046,1322
2004,1,4,457450.0,603949400,1320
2016,1,3,2872.6,3780234,1316
2002,8,6,8353.8,10997345,1316
2013,9,5,161798.11,212223454,1312
2006,9,6,76775.57,100698481,1312
2011,1,0,328268.73,430741554,1312
2001,6,4,410420.0,536990000,1308
2014,1,3,4662.35,6096457,1308
2016,7,5,212098.09,277360093,1308
2010,1,0,387862.4,506768372,1307
2009,9,2,7978.41,104199090,1306
2009,7,2,6047.57,7896745,1306
2012,1,5,1003380.97,1310280795,1306
2005,6,3,34807.0,45354900,1303
2004,5,1,925.0,1205300,1302
2008,1,0,330278.78,429937725,1302
2006,5,1,933.06,1214117,1301
2002,6,0,367426.19,477339538,1299
2011,6,5,1289405.27,1671802531,1297
2005,6,2,84329.0,109302700,1296
2012,6,5,1293514.25,1676543275,1296
2000,6,6,565920.0,733140000,1295
2005,9,4,142038.0,183866700,1294
2001,6,0,397640.0,513246000,1291
2008,2,0,1275.85,1647409,1291
2008,7,0,70409.55,90881819,1291
2010,1,5,1001028.47,1286056342,1285
2002,3,1,257.46,329987,1282
1997,1,4,26220.0,802120000,1281
2002,2,4,52375.42,67039074,1280
2021,0,4,2333.36,2987401,1280
2012,1,3,2534.32,3242602,1279
1999,2,4,52140.0,66651000,1278
2000,9,4,81570.0,104165000,1277
2004,3,1,184.0,234900,1277
2007,9,2,75978.09,97056673,1277
2008,9,5,178742.14,228303114,1277
2002,1,4,409473.2,522628511,1276
2010,5,1,1425.18,1814219,1273
2001,9,4,134360.0,171080000,1273
2010,9,1,64649.07,82229813,1272
2011,1,3,5769.06,7340443,1272
2012,9,5,152740.04,193845690,1269
2009,9,5,183376.2,232760780,1269
2011,9,5,165803.79,209506676,1264
2002,8,1,20846.55,26344726,1264
1998,6,4,326700.0,412395000,1262
2014,2,0,656.38,828346,1262
2014,7,5,259507.5,327506015,1262
2011,1,5,1014267.85,1279107703,1261
2001,4,4,4540.0,5720000,1260
2002,6,3,19366.68,24358790,1258
2013,2,2,29114.9,36568281,1256
2013,5,4,6871.85,8590388,1250
2012,7,2,4097.68,5111567,1247
2002,4,4,2664.26,3321791,1247
2006,2,2,19485.45,24291613,1247
2004,1,6,332645.0,414570000,1246
2006,1,0,318420.29,396468184,1245
2013,7,5,202375.61,251540923,1243
2017,2,5,24432.5,30318432,1241
1996,6,0,384670.0,477066000,1240
2007,3,4,7553.31,9368009,1240
2002,5,1,667.56,826740,1238
2002,1,6,286246.58,353772633,1236
2001,2,4,61070.0,75467000,1236
2013,1,3,3476.78,4294195,1235
2009,1,5,1003948.0,1238347400,1233
2000,2,4,60350.0,74359000,1232
2007,1,2,176884.86,217939155,1232
2009,6,5,1081501.0,1329265200,1229
2000,0,4,4310.0,5290000,1227
2021,4,4,3254.18,3989843,1226
1999,1,4,414080.0,506189000,1222
2006,3,1,106.41,129510,1217
2010,6,5,1182810.77,1436840508,1215
2005,1,3,8496.0,10313600,1214
2008,1,5,1047084.74,1268568413,1212
2008,5,4,5712.8,6905515,1209
2022,4,4,4706.0,5681329,1207
2005,7,2,4767.0,5744200,1205
2012,2,2,34133.26,41057347,1203
1996,1,4,471890.0,567886000,1203
2011,5,6,116.51,140048,1202
1996,7,4,140370.0,167762000,1195
1997,6,3,33900.0,40451000,1193
2007,9,0,101575.87,121058747,1192
2010,7,5,196701.83,233696152,1188
1999,6,6,599140.0,711278000,1187
1997,7,0,48550.0,57469000,1184
2016,3,4,9498.11,11238573,1183
2007,2,0,822.62,970893,1180
2002,9,6,63215.93,74480182,1178
1997,7,4,111760.0,131422000,1176
1997,3,4,5460.0,6419000,1176
2004,8,6,10128.0,11857300,1171
1997,2,4,38340.0,44884000,1171
2013,7,2,4873.12,5704020,1171
2007,5,4,5473.37,6386184,1167
2007,7,0,84744.74,98836504,1166
2016,9,5,162782.72,189825933,1166
2005,7,0,84936.0,9834700,1165
2004,9,6,74466.0,86668600,1164
2016,2,5,27116.65,31527669,1163
1998,7,4,69590.0,80746000,1160
2012,5,6,71.79,83108,1158
2007,6,3,23921.43,27683287,1157
2015,2,5,21409.26,24659144,1152
2007,7,2,6381.05,7342450,1151
2002,2,2,17279.16,19878643,1150
1996,7,0,52320.0,60167000,1150
2010,9,2,64612.04,74160596,1148
2000,5,1,1420.0,1627000,1146
2008,6,5,11843.87,13571832,1146
2005,2,2,20230.0,23165300,1145
2006,9,2,60736.95,567289,1145
2000,2,2,24570.0,28073000,1143
2005,9,1,47200.0,53918300,1142
2011,2,0,1264.49,1444057,1142
2012,7,5,257794.7,293766954,1140
2002,1,0,274628.32,312728240,1139
2002,7,2,4527.18,5151849,1138
1999,7,6,82340.0,93416000,1135
1997,6,0,343640.0,389282000,1133
1998,0,1,5260.0,5934000,1128
2004,2,4,48006.0,54012800,1125
2011,7,2,3800.09,4266584,1123
